index,age,MaleBar,FemaleBar,MaleLine,FemaleLine
90,90+,0.509688766,1.08387194,1.733386239,2.250315963
89,89,0.149357917,0.270591117,0.386135849,0.485333451
88,88,0.192644415,0.306016695,0.451532787,0.555139171
87,87,0.242170408,0.37008423,0.496722805,0.611351145
86,86,0.276487632,0.420584522,0.566528525,0.659112953
85,85,0.334202963,0.479375907,0.613922934,0.739205831
84,84,0.359550912,0.489928207,0.699894189,0.814522529
83,83,0.409856843,0.537790424,0.746186403,0.902330776
82,82,0.473811669,0.572462266,0.822237898,0.966625518
81,81,0.519048009,0.660649343,0.857508156,0.967727714
80,80,0.559604728,0.673085982,0.946051201,1.052964171
79,79,0.656316904,0.746952081,1.058842548,1.123137289
78,78,0.688684285,0.787276941,1.100358581,1.184860242
77,77,0.706232866,0.816295766,1.148487788,1.261646533
76,76,0.763948197,0.811396484,1.20506716,1.282588249
75,75,0.751469206,0.819310709,1.213149928,1.298018987
74,74,0.808014632,0.868303529,1.240704817,1.291405814
73,73,0.892247817,0.935386007,1.208373747,1.309408341
72,72,1.053304788,1.055229984,1.22270229,1.304264762
71,71,1.087232043,1.071435301,1.182288452,1.270096699
70,70,1.082162453,1.106107144,1.26495312,1.340269817
69,69,1.448732798,1.433605306,1.180451459,1.270464098
68,68,1.288455764,1.323183026,1.112482732,1.198453987
67,67,1.263107815,1.289264919,1.023204891,1.095215002
66,66,1.220991222,1.256477416,1.014019928,1.07574288
65,65,1.222161127,1.219544367,0.983158452,1.079416865
64,64,1.192523525,1.199947239,0.935764042,1.03826823
63,63,1.23152037,1.23650342,0.986832437,1.056638157
62,62,1.212411916,1.237634024,1.08823443,1.145548599
61,61,1.26427772,1.238387759,1.123872087,1.202862769
60,60,1.258038225,1.29265673,1.113952326,1.197351791
59,59,1.335251978,1.334489061,1.129015666,1.20029098
58,58,1.317703398,1.396295389,1.16281633,1.201393175
57,57,1.361379864,1.438127721,1.116524116,1.17530788
56,56,1.333692104,1.357478,1.151059577,1.219763101
55,55,1.405836268,1.420038064,1.154733563,1.246950592
54,54,1.517757213,1.457724849,1.092275813,1.181186256
53,53,1.514637466,1.488628013,1.115054522,1.209843341
52,52,1.531406109,1.554956754,1.129015666,1.202127972
51,51,1.558313932,1.530460344,1.222334891,1.221232696
50,50,1.527896393,1.512747555,1.282220851,1.307938747
49,49,1.527896393,1.468654016,1.257972548,1.318960703
48,48,1.447952861,1.474683902,1.180084061,1.224539282
47,47,1.442103334,1.43473591,1.163551127,1.188166828
46,46,1.354750401,1.355970529,1.153631367,1.138200629
45,45,1.437033744,1.421168667,1.158407548,1.147018194
44,44,1.29703507,1.324313629,1.129383064,1.144813802
43,43,1.213191853,1.233111609,1.131954854,1.144079005
42,42,1.091521696,1.094047372,1.106971754,1.123504688
41,41,1.06773362,1.070681566,1.069864503,1.086397437
40,40,1.026396964,1.072942773,1.045616201,1.057005555
39,39,0.952302959,1.028472366,1.025409282,1.023204891
38,38,1.018987564,1.037894062,1.051861976,1.045983599
37,37,1.127398793,1.112513897,1.074640684,1.073538489
36,36,1.160546112,1.162260453,1.096317197,1.097419393
35,35,1.152356774,1.151331286,1.149957382,1.145548599
34,34,1.192523525,1.158491775,1.181553655,1.151059577
33,33,1.25413854,1.154346228,1.213517327,1.199188784
32,32,1.158206301,1.115905708,1.20506716,1.180451459
31,31,1.182774314,1.174697092,1.228580666,1.21755871
30,30,1.178874629,1.218790631,1.256870352,1.236296035
29,29,1.080992548,1.112890765,1.265687917,1.242909208
28,28,1.089181885,1.141909589,1.251359375,1.211680334
27,27,1.119209456,1.156984303,1.237398231,1.194412603
26,26,1.318093366,1.182988185,1.230417659,1.189269024
25,25,1.42299488,1.325067365,1.262748729,1.190738618
24,24,1.444053176,1.371798979,1.261279135,1.192208212
23,23,1.366839423,1.290772391,1.327043471,1.249154983
22,22,1.443273239,1.323936762,1.428445463,1.352761367
21,21,1.537255636,1.376698261,1.503027364,1.456367751
20,20,1.588731472,1.435866513,1.512212327,1.49163801
19,19,1.484999864,1.385366221,1.470328895,1.43432384
18,18,1.247119108,1.119297518,1.131587456,1.067660112
17,17,1.138707879,1.053722512,1.089336625,1.022470094
16,16,1.071243336,1.015658859,1.086397437,1.018061311
15,15,1.046675324,0.942169628,1.077579872,1.012182935
14,14,1.00728851,0.898452957,1.069864503,1.007774153
13,13,1.041995703,0.954983135,1.062149134,1.005569762
12,12,1.045895387,0.963274228,1.057740352,1.000793581
11,11,1.079042705,1.013397652,1.052229374,0.995650001
10,10,1.113749898,1.066912887,1.047820592,0.993813009
9,9,1.166395639,1.034502252,1.043779208,0.98866943
8,8,1.172635134,1.109498954,1.04084002,0.986832437
7,7,1.142217595,1.037140327,1.039737824,0.988302031
6,6,1.180824471,1.120428122,1.039370426,0.989771625
5,5,1.210072105,1.119297518,1.041207419,0.991608618
4,4,1.172635134,1.054476248,1.04341181,0.989036828
3,3,1.183944219,1.030733573,1.04341181,0.989404227
2,2,1.137537973,1.01905067,1.041207419,0.98866943
1,1,1.06032422,1.006237163,1.040105223,0.988302031
0,0,1.080212611,0.971188453,1.039003027,0.989771625
