age,Male,Female
>1,19,14
01-04,24,20
05-09,16,7
10-14,27,7
15-19,88,25
20-24,157,41
25-29,226,37
30-34,230,48
35-39,259,73
40-44,224,96
45-49,209,86
50-54,193,96
55-59,175,73
60-64,168,76
65-69,163,94
70-74,229,218
75-79,323,388
80-84,424,644
85-89,386,878
90+,342,1113
